2,4
3,2
5,5
6,17
7,19
8,18
9,50
10,53
11,61
12,66
13,73
14,70
15,52
16,44
17,43
18,59
19,70
20,68
21,75
22,72
23,76
24,70
25,71
26,77
27,77
28,70
29,69
30,74
31,77
32,76
33,78
34,79
35,78
36,77
37,68
38,75
39,78
40,76
41,78
42,72
43,70
44,75
45,78
46,76
47,73
48,76
49,73
50,74
51,77
52,76
53,75
54,77
55,76
56,75
57,77
58,78
59,76
60,78
61,76
62,74
63,75
64,76
65,76
66,49
67,49
68,85
69,89
70,46
71,192
72,269
73,263
74,258
75,243
76,226
77,244
78,246
79,248
80,256
81,246
82,250
83,247
84,249
85,259
86,245
87,245
88,247
89,241
90,245
91,246
92,255
93,247
94,248
95,259
96,262
97,260
98,249
99,285
100,250
101,252
102,246
103,251
104,251
105,251
106,246
107,263
108,250
109,227
110,245
111,219
112,222
113,231
114,229
115,225
116,233
117,231
118,268
119,222
120,220
121,226
122,227
123,232
124,216
125,229
126,232
127,224
128,231
129,228
130,226
131,233
132,233
133,239
134,238
135,219
136,228
137,229
138,253
139,221
140,231
141,236
142,274
143,250
144,252
145,249
146,225
147,232
148,216
149,233
150,236
151,225
152,228
153,222
154,243
155,237
156,229
157,239
158,233
159,227
160,224
161,227
162,223
163,229
164,212
165,222
166,228
167,266
168,229
169,230
170,217
171,228
172,248
173,230
174,228
175,232
176,225
177,233
178,229
179,225
180,232
181,225
182,240
183,232
184,224
185,228
186,212
187,224
188,226
189,227
190,224
191,209
192,235
193,243
194,226
195,229
196,236
197,220
198,230
199,230
200,227
201,224
202,225
203,227
204,221
205,227
206,227
207,226
208,232
209,240
210,246
211,254
212,240
213,244
214,251
215,218
216,193
217,244
218,236
219,240
220,210
221,226
222,232
223,220
224,217
225,215
226,199
227,225
228,174
229,188
230,181
231,167
232,164
233,135
234,102
235,98
236,90
237,373
238,353
239,411
240,473
241,548
242,529
243,484
244,517
245,486
246,475
247,505
248,553
249,566
250,554
251,372
252,609
253,597
254,590
255,570
256,530
257,506
258,527
259,505
260,530
261,513
262,484
263,471
264,483
265,467
266,463
267,489
268,471
269,476
270,486
271,474
272,473
273,477
274,470
275,495
276,477
277,469
278,455
279,455
280,464
281,452
282,459
283,487
284,459
285,484
286,490
287,455
288,481
289,477
290,521
291,501
292,425
293,456
294,451
295,462
296,491
297,449
298,470
299,472
300,482
301,448
302,477
303,479
304,487
305,466
306,489
307,493
308,512
309,510
310,493
311,481
312,451
313,461
314,479
315,484
316,472
317,470
318,462
319,476
320,461
321,477
322,487
323,471
324,472
325,466
326,472
327,463
328,467
329,498
330,475
331,478
332,495
333,471
334,469
335,480
336,480
337,461
338,483
339,459
340,460
341,453
342,477
343,467
344,468
345,471
346,479
347,457
348,375
349,451
350,457
351,459
352,455
353,461
354,456
355,405
356,462
357,471
358,452
359,447
360,464
361,459
362,481
363,453
364,472
365,475
366,498
367,495
368,479
369,472
370,498
371,493
372,477
373,494
374,484
375,482
376,504
377,488
378,475
379,454
380,457
381,459
382,462
383,452
384,431
385,453
386,461
387,434
388,436
389,438
